Artist;Scrobblings;Origen
IC3PEAK;2407;Rusia
System of a Down;2390;Estados Unidos
Луна;2230;Ucrania
Archgoat;1745;Finlandia
Last Days of Humanity;1689;Países Bajos
Bathory;1632;Suecia
Drudkh;1515;Ucrania
SHXCXCHCXSH;1479;Suecia
Judas Iscariot;1478;Estados Unidos
Burzum;1433;Noruega
Монеточка;1323;Rusia
Anal Cunt;1230;Estados Unidos
Marduk;1223;Suecia
Inquisition;1198;Colombia
Сыны Севера;1188;Rusia
DJ Blyatman;1163;Eslovaquia
Wolfnacht;1160;Grecia
Barbatos;1122;Japón
Armagedda;1092;Suecia
Crystal Castles;1089;Canadá
Hard Bass School;1084;Rusia
Mirèle;1072;Rusia
Grausamkeit;1011;Alemania
Rompeprop;1003;Países Bajos
Der Stürmer;966;Grecia
Tsjuder;928;Noruega
Sarcófago;904;Brasil
Anorexia Nervosa;889;Francia
Proclamation;874;España
Sadomator;870;Dinamarca
Graveland;868;Polonia
Russian Village Boys;837;Rusia
XS Project;805;Rusia
Urgehal;772;Noruega
Revenge;750;Canadá
Black Witchery;748;Estados Unidos
Darkthrone;747;Noruega
Rammstein;710;Alemania
Gronibard;704;Francia
Agathocles;703;Bélgica
Kino;703;Rusia
Archagathus;695;Canadá
Aerosmith;676;Estados Unidos
Summoning;673;Austria
Cannibal Corpse;631;Estados Unidos
Enthroned;626;Bélgica
Filmmaker;625;Colombia
Immortal;619;Noruega
Mayhem;615;Noruega
Abigor;608;Austria
Beherit;605;Finlandia
Deicide;594;Estados Unidos
Hate Forest;568;Ucrania
Possessed;562;Estados Unidos
Wargoatcult;560;España
Snail Mail;554;Estados Unidos
Putrid Pile;553;Estados Unidos
Gigi D'Agostino;523;Italia
Gorgoroth;518;Noruega
Manizha;512;Tayikistán
Brujería;487;Estados Unidos
Nattefrost;484;Noruega
Убийцы;474;Rusia
Mdou Moctar;473;Niger
Sargeist;471;Finlandia
Grimes;468;Canadá
Morbid Angel;453;Estados Unidos
Gopnik McBlyat;452;Polonia
She Past Away;452;Turquía
Blasphemy;443;Canadá
Michael Jackson;424;Estados Unidos
Paysage d'Hiver;423;Suiza
Гречка;423;Rusia
Samael;418;Suiza
Dua Lipa;415;Reino Unido
1349;397;Noruega
Nargaroth;397;Alemania
Forest;391;Rusia
Cosmic Church;387;Finlandia
Vlad Tepes;386;Francia
Caroline Rose;382;Estados Unidos
1389;378;Bosnia y Herzegovina
Krasny Bor 1943;368;España
Regurgitate;366;Suecia
Miranda!;364;Argentina
Мы;363;Rusia
Blodsrit;354;Dinamarca
Holdaar;353;Rusia
Torsofuck;353;Finlandia
musia totibadze;349;Rusia
Crim3s;346;Reino Unido
Nunslaughter;338;Estados Unidos
Belphegor;325;Austria
Jarnvidr;323;Suecia
Деревянные Киты;313;Rusia
Disrupt;307;Estados Unidos
Satanic Warmaster;306;Finlandia
Absurd;294;Alemania
Celtic Frost;294;Suiza
Goatmoon;292;Finlandia
Гражданская Оборона;292;Rusia
Abysmal Lord;289;Estados Unidos
Eisenwinter;288;Suiza
Ignorantes;287;Chile
МЫШЬ;283;Rusia
Ildjarn;282;Noruega
Conqueror;279;Canadá
Emperor;277;Noruega
Drowning the Light;268;Australia
Sodom;268;Alemania
Dottor Dag;267;Italia
Torgeist;266;Francia
Vothana;264;Vietnam
Carpathian Forest;260;Noruega
Moonblood;260;Alemania
Cryptopsy;258;Canadá
White Ring;258;Estados Unidos
Sepultura;255;Brasil
Bilskirnir;254;Alemania
Deiphago;253;Filipinas
Black Funeral;252;Estados Unidos
Metallica;246;Estados Unidos
HBKN;242;Rusia
Los Pibes Chorros;242;Argentina
Spear of Longinus;242;Australia
Goat Semen;236;Perú
Mauro Picotto;234;Italia
Ancient;232;Noruega
Haggus;232;Estados Unidos
Krisiun;231;Brasil
Napalm Death;230;Reino Unido
Nebiros;228;Colombia
Camilo Sesto;227;España
Инструкция по выживанию;227;Rusia
Impetigo;225;Estados Unidos
Acutor;222;Colombia
Mater Suspiria Vision;221;Alemania
Sidewalks and Skeletons;221;Reino Unido
Wolfenhords;218;Croacia
Infestdead;214;Suecia
Die Antwoord;212;Sudáfrica
GSPD;212;Rusia
Stas Exstas;212;Rusia
Arckanum;211;Suecia
Diocletian;210;Nueva Zelanda
Morbosidad;209;Estados Unidos
Dimmu Borgir;208;Noruega
Kreator;201;Alemania
Krypt;201;Noruega
Root;201;Chequia
Taake;201;Noruega
Grand Belial's Key;197;Estados Unidos
Molchat Doma;194;Bielorrusia
Falkenbach;187;Alemania
Ансамбль Христа Спасителя И Мать Сыра Земля;187;Rusia
Sadogoat;184;Dinamarca
Electroforez;182;Rusia
Impaled Nazarene;179;Finlandia
Behexen;175;Finlandia
Wormrot;174;Singapur
Genocide Organ;172;Alemania
ooes;171;Rusia
Little Big;169;Rusia
Kristallnacht;166;Francia
Suffocation;166;Estados Unidos
Faye Webster;163;Estados Unidos
Imperial Crystalline Entombment;163;Estados Unidos
...aaaarrghh...;162;Estados Unidos
Dark Funeral;162;Suecia
Departure Chandelier;160;Canadá
Mephistofeles;160;Argentina
The Chemical Brothers;156;Reino Unido
Poshlaja Molli;153;Rusia
Massemord;152;Noruega
Beastcraft;151;Noruega
Dahmer;150;Canadá
Death;150;Estados Unidos
Heroin Makes Happy;146;Alemania
Armaggedon;144;Francia
Fremdreich;144;Alemania
Amputated;143;Reino Unido
Branikald;143;Rusia
Modern Witch;143;Estados Unidos
Isengard;142;Noruega
Mütiilation;142;Francia
Grabschänder;141;Alemania
Uamee;141;Letonia
buerak;140;Rusia
Discharge;140;Reino Unido
Anti-System;138;Polonia
Doom;137;Reino Unido
Princess Chelsea;137;Nueva Zelanda
ALAMBRE DE PÚAS;136;Chile
Свидание;136;Rusia
Boy Harsher;133;Estados Unidos
Darío Gómez;133;Colombia
Mefisto;132;Suecia
элли на маковом поле;131;Rusia
Ediöndö;130;Chile
Limbonic Art;130;Noruega
davay;128;Rusia
Bestial Summoning;127;Países Bajos
Benny Benassi;126;Italia
Teitanblood;125;España
Bestial Mockery;123;Suecia
AronChupa;122;Suecia
Wulkanaz;122;Suecia
Fimbulwinter;120;Noruega
Sabbat;120;Japón
Ad Hominem;119;Francia
Bravo;119;Rusia
Kūka'ilimoku;119;Estados Unidos
Cults;118;Estados Unidos
Friedhof;118;Alemania
Труп Колдуна;118;Kazajistán
Pest (GER);;Alemania
Pest;117;Suecia
Ødelegger;116;Alemania
Urfaust;115;Países Bajos
Ghostemane;113;Estados Unidos
Devil Master;112;Estados Unidos
Gutalax;112;Chequia
Terrorizer;111;Estados Unidos
Ancient Methods;110;Alemania
Daemonicium;110;Polonia
Gleb;110;Eslovaquia
Utro;110;Rusia
Besatt;109;Polonia
Uriel Henao;109;Colombia
Disclose;108;Japón
Horna;108;Finlandia
Windir;108;Noruega
Unholy Grave;107;Japón
Heresy;105;Reino Unido
Impure Worship;105;Grecia
Luis Alberto Posada;103;Colombia
Shortparis;103;Rusia
Basshunter;102;Suecia
Ravencult;102;Suecia
Satyricon;102;Noruega
Amystery;101;Alemania
Mercyful Fate;101;Dinamarca
Profanatica;101;Estados Unidos
Devourment;100;Estados Unidos
Hulder;97;Estados Unidos
Kill Baby Kill!;97;Bélgica
Internal Suffering;96;Colombia
Moëvöt;96;Francia
алёна швец.;96;Rusia
Би-2;96;Bielorrusia
Kadotus;95;Finlandia
Марина Девятова;95;Rusia
Dodsferd;93;Grecia
Los Tigres Del Norte;93;México
Bathym Throne;91;Colombia
Curta'n Wall;90;Estados Unidos
Ingested Lobotomized Remains;90;Canadá
Corneus;89;Alemania
Dead Infection;89;Polonia
Mortuary Drape;89;Italia
Akitsa;88;Canadá
Antaeus;88;Francia
Absu;86;Estados Unidos
Striborg;86;Australia
Antichrist Siege Machine;85;Estados Unidos
DLB;85;Rusia
First Days of Humanity;84;Países Bajos
Niki Istrefi;84;Dinamarca
Diomedes Díaz;83;Colombia
Satanik Goat Ritual;82;Estados Unidos
Calle 13;81;Puerto Rico
Havohej;81;Estados Unidos
Ruprecht 4500;81;Alemania
Егор Летов;81;Rusia
GBH;80;Reino Unido
Dying Fetus;79;Estados Unidos
Razni Izvodjaci;79;Serbia
Belkant;76;Colombia
C.A.R.N.E.;76;México
Madonna;76;Estados Unidos
Alan Aztec;75;Canadá
Kim Petras;74;Alemania
Yacøpsæ;74;Alemania
Hellhammer;73;Suiza
Pussy Riot;73;Rusia
Slipknot;73;Estados Unidos
Wagner Ödegård;73;Suecia
длб;72;Rusia
Këkht Aräkh;70;Ucrania
Marina Devyatova;70;Rusia
М8Л8ТХ;70;Rusia
Peste Noire;69;Francia
Polterwytch;69;Alemania
El Chombo;68;Panamá
Severe Torture;68;Países Bajos
Acherontas;67;Grecia
Komsomolsk;67;Rusia
Throne of Ahaz;67;Suecia
Zygoatsis;67;Tailandia
Сплин;67;Rusia
Alcest;66;Francia
Crumb;66;Estados Unidos
Daddy Yankee;66;Puerto Rico
Nekrokrist SS;66;Finlandia
Vicente Fernández;66;México
Azazel;65;Finlandia
Bombino;65;Niger
Rompeprop / Tu Carne;65;
BABYMETAL;64;Japón
Japanese Breakfast;63;Estados Unidos
Alice Phoebe Lou;62;Sudáfrica
Crocell;62;Colombia
Darkened Nocturn Slaughtercult;62;Alemania
Infester;61;Estados Unidos
Cemetery Rapist;60;Estados Unidos
Darude;60;Finlandia
P.R.O.S.T.I.T.U.T.A.;60;México
Satan's Revenge On Mankind;60;Alemania
White Wolves Kommando;60;Finlandia
1914;59;Ucrania
Sateliti;59;Bosnia y Herzegovina
Behemoth;58;Polonia
Deathspell Omega;58;Francia
Hammergoat;58;Brasil
Lento Violento Man;58;Italia
Maleficarum;58;Colombia
Old;58;Alemania
Pharaoh;58;Rusia
Seviss;58;Francia
Crimson Evenfall;57;Finlandia
Dysangelium;57;Alemania
Graven;57;Alemania
Human Tetris;57;Rusia
Lady Gaga;57;Estados Unidos
Tzelmoth;57;Colombia
Blasfemia;56;Colombia
I Shalt Become;56;Estados Unidos
Nordreich;56;Alemania
Tetragrammacide;56;India
The Cranberries;56;Irlanda
Aryan Blood;55;Alemania
Concrete Winds;55;Finlandia
Infernal War;55;Polonia
Insect Warfare;55;Estados Unidos
Kroda;55;Ucrania
Nautilus Pompilius;55;Rusia
Typhon;55;Colombia
Elitism;54;Francia
Esbbat;54;Colombia
Naer Mataron;54;Grecia
1782;53;Italia
Gospel of the Horns;53;Australia
Ritualz;53;México
Wolfblood;53;Australia
$uicideboy$;52;Estados Unidos
Abigail;52;Japón
Ifernach;52;Canadá
Midnight;52;Estados Unidos
Morbid;52;Suecia
Mortician;52;Estados Unidos
Nocturnus;52;Estados Unidos
Nuclear Desecration;52;Estados Unidos
Aguilas del Norte;51;Colombia
Alyona Shvets;51;Rusia
Cruel Force;51;Alemania
Darkspace;51;Suiza
Infernal;51;Colombia
Krieg;51;Alemania
Les Discrets;51;Francia
Leviathan;51;Estados Unidos
LSSAH;51;Polonia
Mäleficentt;51;Estados Unidos
Old Morgul;51;Finlandia
Summer of Haze;51;Rusia
Vèrmibdrèb;51;Francia
Anal Blasphemy;50;Finlandia
Command;50;Brasil
Drakar;50;Colombia
English Rose;50;Reino Unido
Total Hate;50;Alemania
Blut aus Nord;49;Francia
Enshadowed;49;Grecia
Goatpenis;49;Brasil
Panphage;49;Suecia
Vargsang;49;Alemania
Watain;49;Suecia
Утро;49;Rusia
Asymmetry;48;International
Darkthule;48;Grecia
Masacre;48;Colombia
Myrkur;48;Estados Unidos
Тося Чайкина;48;Rusia
Black Sabbath;47;Reino Unido
Britney Spears;47;Estados Unidos
Chainless;47;
Dub Buk;47;Ucrania
Blod Besvimelse;46;Alemania
daKooka;46;Ucrania
Depresión Sonora;46;España
Wings of Evil;46;Alemania
Black Flame;45;Italia
Dissection;45;Suecia
Katharsis;45;Alemania
Kult Perunov;44;Croacia
Liturgia;44;Finlandia
Marraneitors;44;México
Orchid;44;Estados Unidos
Hedor;43;Colombia
Nansarunai;43;Indonesia
Schwefelgelb;43;Alemania
Xasthur;43;Estados Unidos
Crossed Out;42;Estados Unidos
Cypis;42;Polonia
Los Bacanes del Sur;42;Colombia
Mordulv;42;Dinamarca
Nocturnal Depression;42;Francia
Belkètre;41;Francia
Black Cilice;41;Portugal
Forgotten Woods;41;Noruega
Grupo Exterminador;41;México
Julio Jaramillo;41;Ecuador
Vengaboys;41;Países Bajos
Reencarnación;40;Colombia
sonia y carlos;40;Colombia
Стас Экстаз;40;Rusia
Nocturnal;39;Alemania
Parlamentarisk Sodomi;39;Noruega
Proklet;39;Croacia
Ahumado Granujo;38;Chequia
Ātesh;38;Italia
KAS:ST;38;Francia
M8L8TH;38;Rusia
Octavio Mesa;38;Colombia
Roberto Carlos;38;Brasil
Sadistik Exekution;38;Australia
Wolfkrieg;38;Rusia
Bestial Raids;37;Polonia
Black Murder;37;Francia
Brenoritvrezorkre;37;Francia
GG Allin;37;Estados Unidos
Lord Valtgryftåke;37;Chile
Near;37;Italia
YUSIJUSI;37;Rusia
Belore;36;Francia
Blood Incantation;36;Estados Unidos
Cryfemal;36;España
Elvis Crespo;36;Puerto Rico
Fazerdaze;36;Nueva Zelanda
Funeral Goat;36;Países Bajos
Incantation;36;Estados Unidos
La Pestilencia;36;Colombia
Ominous Resurrection;36;Estados Unidos
sapu punk;36;Chile
Arvas;35;Noruega
Azelisassath;35;Suecia
Decapitated;35;Polonia
Don Chezina;35;Estados Unidos
Lucifugum;35;Ucrania
Remco Beekwilder;35;Estados Unidos
Thromos;35;Alemania
Acid Bath;34;Estados Unidos
Andy Stott;34;Reino Unido
Nazghor;34;Suecia
O.B.I.;34;Alemania
Old Funeral;34;Noruega
Prostitute Disfigurement;34;Países Bajos
Vilma Palma E Vampiros;34;Argentina
Yelle;34;Francia
Bestial Warlust;33;Australia
Dominus Sathanas;33;Colombia
E.A.G.L.E.;33;Canadá
Godkiller;33;Mónaco
Impiety;33;Singapur
Marie Davidson;33;Canadá
Migos;33;Estados Unidos
Plage;33;International
Quest Master;33;Australia
SNTS;33;Alemania
Storming Darkness;33;Rusia
Thornspawn;33;Estados Unidos
Thronum Vrondor;33;Bélgica
Vornat;33;Finlandia
Bulldozer;32;Italia
Carnal Diafragma;32;Chequia
Epuration Satanique;32;Francia
Ieschure;32;Ucrania
Jimmy Gutierrez;32;Colombia
Koldbrann;32;Noruega
Maléfices;32;Canadá
Mordhell;32;Polonia
Naked;32;International
Patris;32;Grecia
ROSALÍA;32;España
Venom;32;Reino Unido
Burial Hordes;31;Grecia
Carlos Gardel;31;Argentina
Devathorn;31;Grecia
Eminem;31;Estados Unidos
Fazlija;31;Bosnia y Herzegovina
Franco De Vita;31;Venezuela
Grima;31;Rusia
Kapala;31;India
Nordvrede;31;Noruega
Supremative;31;España
The Notorious B.I.G.;31;Estados Unidos
Warsore;31;Australia
ADHUK;30;Polonia
Amelie Lens;30;Bélgica
Bahrrecht;30;Francia
Daron Malakian and Scars on Broadway;30;Estados Unidos
Exterminador;30;México
Skalder;30;Alemania
Syopa;30;Finlandia
Cicciolina;29;Italia
Dead Blonde;29;Rusia
Ondfødt;29;Finlandia
Tearist;29;Estados Unidos
Thy Light;29;Brasil
Walid Sarkiss;29;Siria
Abyssic Hate;28;Australia
Anenzephalia;28;Alemania
Asakku;28;Alemania
Black Curse;28;Estados Unidos
Damas Gratis;28;Argentina
Demoncy;28;Estados Unidos
Dishammer;28;España
Joachim Witt;28;Alemania
Kult ov Azazel;28;Estados Unidos
Odium;28;Noruega
Perverted Ceremony;28;Bélgica
Qassam;28;Hungría
Viha;28;Finlandia
Vobiscum;28;Austria
Warmoon Lord;28;Finlandia
Acrimonious;27;
Beelzebul;27;Colombia
Craft;27;Suecia
Cripple Bastards;27;Italia
Forever Grey;27;Estados Unidos
God Seed;27;Noruega
Grave Desecrator;27;Brasil
Kobold;27;Italia
Los Relicarios;27;Colombia
Miro Semberac;27;Serbia
Mutiilation;27;Francia
Nachzehrer;27;Estados Unidos
Ofryskje;27;Noruega
O-Zone;27;Moldavia
Verka Serduchka;27;Ucrania
Wolves in the Throne Room;27;Estados Unidos
Avsky;26;Suecia
Belathuzur;26;Francia
Capitalist Casualties;26;Estados Unidos
Denial of God;26;Dinamarca
FIMOSIS;26;Chile
Guerra Total;26;Colombia
Laura Branigan;26;Estados Unidos
Mantiel;26;International
Nebelgrab;26;Alemania
Obtained Enslavement;26;Noruega
Anti Cimex;25;Suecia
Apokalyptic Raids;25;Brasil
Apoptygma Berzerk;25;Noruega
Betavoice;25;Moldavia
Cultes des Ghoules;25;Polonia
Hellvetic Frost;25;Suiza
Melissa;25;Estados Unidos
New Order;25;Reino Unido
Nokturnal Mortum;25;Ucrania
ossements;25;Canadá
Safri Duo;25;Dinamarca
Skandaali;25;Finlandia
Skunk;25;Canadá
Slaughtered Priest;25;Grecia
Tod Huetet Uebel;25;Portugal
Wulfgravf;25;Estados Unidos
Dødsfall;24;Noruega
Elegiac;24;Estados Unidos
Entombed;24;Suecia
Fruko Y Sus Tesos;24;Colombia
Holy Other;24;Reino Unido
Masturbacion Cristiana;24;Italia
Ofermod;24;Suecia
Pantalla;24;España
Parandroid;24;Alemania
Phobia;24;Estados Unidos
Pouya;24;Estados Unidos
Tlateotocani;24;México
Willie Colón;24;Estados Unidos
Atman;23;España
Brutalismus 3000;23;Alemania
Craspore;23;
Dethklok;23;Estados Unidos
Human Serpent;23;Grecia
Lisandro Meza;23;Colombia
Musical Arse Decomposition;23;Alemania
Prosanctus Inferi;23;Estados Unidos
Ritual Genocide;23;Estados Unidos
Todfeind;23;Alemania
Velimor;23;Rusia
Штадт;23;Rusia
Abazagorath;22;Estados Unidos
Anal Vomit;22;Perú
Arazubak;22;Estados Unidos
Baja Mali Knindza;22;Serbia
Crurifragium;22;Ucrania
Cult of Fire;22;Chequia
Dyango;22;España
Héctor Lavoe;22;Puerto Rico
